2021-01-31 12:39:10,707 ERROR [restartedMain] o.s.d.e.r.s.AbstractElasticsearchRepository [AbstractElasticsearchRepository.java:91] failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{2kfUGEKuSwmHUhz9CP5Y0Q}{127.0.0.1}{127.0.0.1:9300}]
2021-01-31 12:41:08,648 ERROR [http-nio-8080-exec-2] c.g.c.c.a.ExceptionAdvice [ExceptionAdvice.java:25] 服务器发生异常：java.util.ArrayList cannot be cast to java.lang.String
2021-01-31 12:41:08,649 ERROR [http-nio-8080-exec-2] c.g.c.c.a.ExceptionAdvice [ExceptionAdvice.java:27] org.springframework.data.redis.serializer.StringRedisSerializer.serialize(StringRedisSerializer.java:36)
2021-01-31 12:41:08,649 ERROR [http-nio-8080-exec-2] c.g.c.c.a.ExceptionAdvice [ExceptionAdvice.java:27] org.springframework.data.redis.core.AbstractOperations.rawKey(AbstractOperations.java:111)
2021-01-31 12:41:08,649 ERROR [http-nio-8080-exec-2] c.g.c.c.a.ExceptionAdvice [ExceptionAdvice.java:27] org.springframework.data.redis.core.AbstractOperations.rawKeys(AbstractOperations.java:211)
2021-01-31 12:41:08,649 ERROR [http-nio-8080-exec-2] c.g.c.c.a.ExceptionAdvice [ExceptionAdvice.java:27] org.springframework.data.redis.core.AbstractOperations.rawKeys(AbstractOperations.java:197)
2021-01-31 12:41:08,649 ERROR [http-nio-8080-exec-2] c.g.c.c.a.ExceptionAdvice [ExceptionAdvice.java:27] org.springframework.data.redis.core.DefaultHyperLogLogOperations.union(DefaultHyperLogLogOperations.java:63)
2021-01-31 12:41:08,649 ERROR [http-nio-8080-exec-2] c.g.c.c.a.ExceptionAdvice [ExceptionAdvice.java:27] com.greate.community.service.DataService.calculateUV(DataService.java:61)
2021-01-31 12:41:08,649 ERROR [http-nio-8080-exec-2] c.g.c.c.a.ExceptionAdvice [ExceptionAdvice.java:27] com.greate.community.service.DataService$$FastClassBySpringCGLIB$$88ac44a4.invoke(<generated>)
2021-01-31 12:41:08,649 ERROR [http-nio-8080-exec-2] c.g.c.c.a.ExceptionAdvice [ExceptionAdvice.java:27] org.springframework.cglib.proxy.MethodProxy.invoke(MethodProxy.java:218)
2021-01-31 12:41:08,649 ERROR [http-nio-8080-exec-2] c.g.c.c.a.ExceptionAdvice [ExceptionAdvice.java:27] org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.invokeJoinpoint(CglibAopProxy.java:749)
